business_id,name,address,city,state,postal_code,latitude,longitude,phone_number
87593,SICILIAN PIZZA AND PASTA,627 S 4TH ST,LOUISVILLE,KY,40202,38.2478444,-85.7580562,(502) 457-3206
87609,LOGANS ROADHOUSE,1540 ALLIANT AVE,LOUISVILLE,KY,40299,38.220503,-85.537944,(502) 266-6009
31334,GOOD SAMARITAN,3500 GOOD SAMARITAN WAY,LOUISVILLE,KY,40299,38.1964285,-85.5624782,(502) 267-7403
32905,EXECUTIVE STRIKE AND SPARE,911 PHILLIPS LN,LOUISVILLE,KY,40209,38.1923888,-85.7414482,(502) 367-2251
32910,BLUE HORSE,830 PHILLIPS LN,LOUISVILLE,KY,40209,38.1921182,-85.7407115,(502) 367-2251
32659,BIG SPRING MAIN KITCHEN,5901 DUTCHMANS LN,LOUISVILLE,KY,40205,38.231209,-85.650284,(502) 459-2622
32660,JEWISH COMMUNITY CENTER KITCHEN,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,38.225128,-85.64962,(502) 458-3281
32724,MOOSE LODGE #5,4615 FEGENBUSH LN,LOUISVILLE,KY,40228,38.182007,-85.637156,(502) 499-8875
32727,RUTHS CHRIS STEAK HOUSE,6100 DUTCHMANS LN,LOUISVILLE,KY,40205,38.2283326,-85.639345,(502) 479-0026
32733,WHITE CASTLE #10,793 EASTERN PKWY,LOUISVILLE,KY,40217,0,0,(502) 634-3322
32765,WOMANS CLUB OF LOUISVILLE,1320 S 4TH ST,LOUISVILLE,KY,40208,38.232113,-85.761282,(502) 634-9437
32358,ARBYS #5430,10704 DIXIE HWY,LOUISVILLE,KY,40272,38.0981914,-85.8725224,(502) 935-1329
32112,CHEDDAR BOX,3909 CHENOWETH SQUARE,LOUISVILLE,KY,40207,38.2548871,-85.6542761,(502) 897-2334
32114,CORNER CAFE AND PIZZERIA,9307 NEW LAGRANGE RD,LOUISVILLE,KY,40242,0,0,(502) 426-8119
32384,STRATHMOOR EDUCATION CENTER,2201 HAWTHORNE AVE,LOUISVILLE,KY,40205,38.216993,-85.6763196,(502) 458-6585
32531,BOYS AND GIRLS HAVEN #1,2301 GOLDSMITH LN,LOUISVILLE,KY,40218,38.2101954,-85.6657655,(502) 458-1471
32802,KFC Y052-016,5012 S 3RD ST,LOUISVILLE,KY,40214,38.1740522,-85.7677809,(502) 366-2673
32804,ARBYS #194,5022 S 3RD ST,LOUISVILLE,KY,40214,38.1736147,-85.7678725,(502) 366-8435
32815,HITCHING POST INN,7314 FEGENBUSH LN,LOUISVILLE,KY,40228,38.1430773,-85.6241682,(502) 239-4724
32818,FORD MOTOR CO CAFETERIA,2000 FERN VALLEY RD,LOUISVILLE,KY,40232,38.154797,-85.725205,(502) 366-9511
32140,ARBYS #5412,6216 BARDSTOWN RD,LOUISVILLE,KY,40291,38.1556665,-85.5902843,(502) 239-3203
32534,KRAZY DAVES NEIGHBORHOOD PUB AND GRILL,2817 DEL RIO PL,LOUISVILLE,KY,40220,38.214588,-85.654381,(502) 403-6101
32535,DES PRES PARK CONCESSION,4709 LOWE RD,LOUISVILLE,KY,40222,38.2226423,-85.604784,(502) 643-6040
32536,BOURBON STREET CAFE,850 DIXIE HWY,LOUISVILLE,KY,40210,38.2449542,-85.7837237,(502) 774-7156
32827,LONG RUN GOLF CLUB,1605 FLAT ROCK RD,LOUISVILLE,KY,40223,38.2647874,-85.4259871,(502) 245-9015
32829,JOHN OBRYANS,4123 FLINTLOCK DR,LOUISVILLE,KY,40216,38.160203,-85.8340572,(502) 449-4940
32553,CAPTAIN DS #3329,3937 DIXIE HWY,LOUISVILLE,KY,40217,38.193582,-85.806686,(502) 447-4582
32564,JERRYS RESTAURANT #1018,4832 DIXIE HWY,LOUISVILLE,KY,40216,38.1719336,-85.8260138,(502) 447-4610
32841,PATRICKS LIQUOR BAR,3202 FRANKFORT AVE,LOUISVILLE,KY,40206,38.254124,-85.675264,(502) 897-9697
32571,LOGANS ROADHOUSE,5229 DIXIE HWY,LOUISVILLE,KY,40216,38.1615266,-85.8316953,(502) 448-0577
32578,WHITE CASTLE #19,7400 DIXIE HWY,LOUISVILLE,KY,40258,38.1428715,-85.8402109,(502) 935-0421
32579,BONNIE AND CLYDES PIZZA,7611 DIXIE HWY,LOUISVILLE,KY,40258,38.140173,-85.840699,(502) 935-5540
32587,WENDYS #170232,8596 DIXIE HWY,LOUISVILLE,KY,40258,38.1282423,-85.8497431,(502) 935-1242
32593,MCDONALDS #1,8600 DIXIE HWY,LOUISVILLE,KY,40258,38.1276407,-85.8505453,(502) 935-2762
32852,PIZZA HUT #013414,2508 PRESTON HWY,LOUISVILLE,KY,40217,38.21231,-85.741488,(502) 634-8322
32866,KFC EMPLOYEES CAFETERIA,1441 GARDINER LN,LOUISVILLE,KY,40213,38.199224,-85.694521,(502) 459-8600
32870,ICE ARENA CONCESSIONS,1825 GARDINER LN,LOUISVILLE,KY,40205,38.2077585,-85.6825494,(502) 459-9500
32874,BROWN FORMAN EMPLOYEE CAFE,1809 GARLAND AVE,LOUISVILLE,KY,40210,38.2445,-85.7848,(502) 585-1100
32877,ALA CART CAFE,3101 BARDSTOWN RD,LOUISVILLE,KY,40205,38.213039,-85.670319,(502) 458-6504
32879,MARYHURST SCHOOL,1015 DORSEY LN,LOUISVILLE,KY,40223,38.264481,-85.561401,(502) 245-1576
